station_a,station_b,line
Harrow & Wealdstone Underground Station,Kenton Underground Station,bakerloo
Kenton Underground Station,South Kenton Underground Station,bakerloo
South Kenton Underground Station,North Wembley Underground Station,bakerloo
North Wembley Underground Station,Wembley Central Underground Station,bakerloo
Wembley Central Underground Station,Stonebridge Park Underground Station,bakerloo
Stonebridge Park Underground Station,Harlesden Underground Station,bakerloo
Harlesden Underground Station,Willesden Junction Underground Station,bakerloo
Willesden Junction Underground Station,Kensal Green Underground Station,bakerloo
Kensal Green Underground Station,Queen's Park Underground Station,bakerloo
Queen's Park Underground Station,Kilburn Park Underground Station,bakerloo
Kilburn Park Underground Station,Maida Vale Underground Station,bakerloo
Maida Vale Underground Station,Warwick Avenue Underground Station,bakerloo
Warwick Avenue Underground Station,Paddington Underground Station,bakerloo
Paddington Underground Station,Edgware Road (Bakerloo) Underground Station,bakerloo
Edgware Road (Bakerloo) Underground Station,Marylebone Underground Station,bakerloo
Marylebone Underground Station,Baker Street Underground Station,bakerloo
Baker Street Underground Station,Regent's Park Underground Station,bakerloo
Regent's Park Underground Station,Oxford Circus Underground Station,bakerloo
Oxford Circus Underground Station,Piccadilly Circus Underground Station,bakerloo
Piccadilly Circus Underground Station,Charing Cross Underground Station,bakerloo
Charing Cross Underground Station,Embankment Underground Station,bakerloo
Embankment Underground Station,Waterloo Underground Station,bakerloo
Waterloo Underground Station,Lambeth North Underground Station,bakerloo
Lambeth North Underground Station,Elephant & Castle Underground Station,bakerloo
Elephant & Castle Underground Station,Lambeth North Underground Station,bakerloo
Lambeth North Underground Station,Waterloo Underground Station,bakerloo
Waterloo Underground Station,Embankment Underground Station,bakerloo
Embankment Underground Station,Charing Cross Underground Station,bakerloo
Charing Cross Underground Station,Piccadilly Circus Underground Station,bakerloo
Piccadilly Circus Underground Station,Oxford Circus Underground Station,bakerloo
Oxford Circus Underground Station,Regent's Park Underground Station,bakerloo
Regent's Park Underground Station,Baker Street Underground Station,bakerloo
