line,branch_id,order,station_name,lat,lon
bakerloo,0,0,Harrow & Wealdstone Underground Station,51.592268,-0.335217
bakerloo,0,1,Kenton Underground Station,51.581756,-0.31691
bakerloo,0,2,South Kenton Underground Station,51.570232,-0.308433
bakerloo,0,3,North Wembley Underground Station,51.562551,-0.304
bakerloo,0,4,Wembley Central Underground Station,51.552304,-0.296852
bakerloo,0,5,Stonebridge Park Underground Station,51.543959,-0.275892
bakerloo,0,6,Harlesden Underground Station,51.53631,-0.257883
bakerloo,0,7,Willesden Junction Underground Station,51.532259,-0.244283
bakerloo,0,8,Kensal Green Underground Station,51.530539,-0.225016
bakerloo,0,9,Queen's Park Underground Station,51.534158,-0.204574
bakerloo,0,10,Kilburn Park Underground Station,51.534979,-0.194232
bakerloo,0,11,Maida Vale Underground Station,51.529777,-0.185758
bakerloo,0,12,Warwick Avenue Underground Station,51.523263,-0.183783
bakerloo,0,13,Paddington Underground Station,51.516581,-0.175689
bakerloo,0,14,Edgware Road (Bakerloo) Underground Station,51.520299,-0.17015
bakerloo,0,15,Marylebone Underground Station,51.522322,-0.163207
bakerloo,0,16,Baker Street Underground Station,51.522883,-0.15713
bakerloo,0,17,Regent's Park Underground Station,51.523344,-0.146444
bakerloo,0,18,Oxford Circus Underground Station,51.515224,-0.141903
bakerloo,0,19,Piccadilly Circus Underground Station,51.51005,-0.133798
bakerloo,0,20,Charing Cross Underground Station,51.50741,-0.127277
bakerloo,0,21,Embankment Underground Station,51.507058,-0.122666
bakerloo,0,22,Waterloo Underground Station,51.503299,-0.11478
bakerloo,0,23,Lambeth North Underground Station,51.498808,-0.112315
bakerloo,0,24,Elephant & Castle Underground Station,51.494536,-0.100606
bakerloo,1,0,Elephant & Castle Underground Station,51.494536,-0.100606
bakerloo,1,1,Lambeth North Underground Station,51.498808,-0.112315
bakerloo,1,2,Waterloo Underground Station,51.503299,-0.11478
bakerloo,1,3,Embankment Underground Station,51.507058,-0.122666
bakerloo,1,4,Charing Cross Underground Station,51.50741,-0.127277
bakerloo,1,5,Piccadilly Circus Underground Station,51.51005,-0.133798
bakerloo,1,6,Oxford Circus Underground Station,51.515224,-0.141903
bakerloo,1,7,Regent's Park Underground Station,51.523344,-0.146444
bakerloo,1,8,Baker Street Underground Station,51.522883,-0.15713
bakerloo,1,9,Marylebone Underground Station,51.522322,-0.163207
bakerloo,1,10,Edgware Road (Bakerloo) Underground Station,51.520299,-0.17015
bakerloo,1,11,Paddington Underground Station,51.516581,-0.175689
bakerloo,1,12,Warwick Avenue Underground Station,51.523263,-0.183783
bakerloo,1,13,Maida Vale Underground Station,51.529777,-0.185758
bakerloo,1,14,Kilburn Park Underground Station,51.534979,-0.194232
bakerloo,1,15,Queen's Park Underground Station,51.534158,-0.204574
bakerloo,1,16,Kensal Green Underground Station,51.530539,-0.225016
bakerloo,1,17,Willesden Junction Underground Station,51.532259,-0.244283
bakerloo,1,18,Harlesden Underground Station,51.53631,-0.257883
